attribute,group,n_good,n_bad,approval_rate,FPR,FNR
gender,F,37725,2836,0.8432484406203002,0.1335188866799205,0.5342031029619182
gender,M,18811,2129,0.7237344794651385,0.23576630694806233,0.3658994833255049
education,Higher education,14278,783,0.9052519753004449,0.07963300182098332,0.6296296296296297
education,Incomplete higher,1831,157,0.7942655935613682,0.17695248498088478,0.4585987261146497
education,Lower secondary,709,82,0.7193426042983565,0.2496473906911142,0.45121951219512196
education,Secondary / secondary special,39681,3942,0.7688375398299062,0.19739925909125278,0.42897006595636733
